104.2	38.8	199	1	109	11
106.2	38	209	19	323	66
105.6	35.9	238	24	346	34
106.3	37.8	9	15	268	45
105.9	35.83	241	8	149	41
105.3	36.1	216	11	320	50
106.4	36.4	211	31	145	9
104.15	38.6	53	60	283	21
106.2	37.4	70	12	181	35
106.3	36.4	273	85	102	6
106.2	38.3	56	42	170	25
105.61	35.87	222	2	313	49
106	38	51	45	179	31
105.34	36.54	58	3	326	32
108.24	40.83	105	73	4	4
106.55	38.49	66	6	333	22
105.63	37.57	36	68	235	21
106.86	38.13	68	19	328	26
106.3	35.97	58	7	152	29
107.42	41.02	237	28	328	0
106.16	37.69	3	31	108	23
107.65	40.88	141	22	38	28
108.11	40.93	151	30	48	22
106.17	37.44	94	58	358	3
106.33	37.16	227	18	136	2
105.32	36.61	57	42	177	47
106.17	37.53	239	14	81	74
106.55	37.2	30	30	164	50
106.08	37.14	41	18	161	57
106.25	37.05	47	12	306	42
106.27	37	11	20	139	20
105.37	36.58	71	34	161	2
105.74	36.29	58	44	319	9
106.28	38.38	236	5	328	17
105.98	37.46	48	71	144	2
105.88	36.25	90	64	356	2
105.84	37.23	68	49	164	5
105.74	37.26	100	16	10	0
105.99	37.15	66	20	157	4
105.87	37.16	238	3	330	35
105.28	36.64	49	32	142	6
105.88	37.9	34	0	124	41
106.09	36.69	238	1	328	18
105.97	36.19	238	19	133	36
105.51	36.52	301	40	144	14
106.39	39.74	222	20	315	8
106.08	36.02	101	36	338	36

