MYZ017	31.4637	131.2277	33.55	149.92
MYZ018	31.3985	131.3052	12.73	159.07
MYZ019	32.5006	131.4444	64.44	69.8
MYZ020	32.455	131.147	180.6	48.98
NGS001	33.3616	129.5383	44.97	132.61
NGS002	33.3444	129.7054	52.32	118.42
NGS003	33.2016	129.4128	77.62	135.38
NGS004	33.1808	129.7177	29.76	108.42
NGS005	33.0371	129.9171	45.34	84.98
NGS006	32.9327	129.6428	20.92	106.45
NGS007	32.9061	129.7802	32.79	93.3
NGS008	32.9231	130.1843	68.42	57.19
NGS009	32.8456	130.0218	95.6	69.95
NGS010	32.7353	129.8763	113.99	82.86
NGS011	32.7839	130.2024	61.01	52.44
NGS012	32.7884	130.3463	71.92	39.07
NGS013	32.5811	129.7596	17.04	95.76
NGS014	32.6106	130.1849	171.27	56.28
NGS015	33.2558	129.1255	9.92	162.52
NGS016	32.888	129.0211	9.4	163.37
NGS017	32.6658	128.8433	5.03	179.78
NGS018	32.6341	128.6194	2.15	200.94
NGS019	32.9002	129.9582	116.16	76.87
NGS020	34.6609	129.4594	6.56	243.98
NGS021	34.3973	129.324	8.82	226.22
NGS022	34.2029	129.2868	11.07	211.45
NGS023	33.7502	129.6899	28.2	149.11
OIT001	33.6783	131.5936	43.54	128.73
OIT002	33.5685	131.2678	90.52	102.17
OIT003	33.5575	131.4461	105.06	109.81
OIT004	33.5666	131.7378	29.48	128.2
OIT005	33.4549	131.1142	171.32	84.66
OIT006	33.4244	131.3148	172.53	90.7
OIT007	33.4169	131.6142	50.05	108.41
OIT008	33.2555	131.0203	81.06	60.85
OIT009	33.2569	131.3439	716.84	78
OIT010	33.2317	131.5934	118.23	94.05
OIT011	33.2461	131.8811	48.92	117.89
OIT012	33.0664	131.3734	98.12	66.87
OIT013	33.0726	131.5934	86.26	85.36
OIT014	33.0656	131.8589	84.57	108.14
OIT015	32.9722	131.397	153.22	64.12
OIT016	32.9747	131.9028	134.06	109.36
OIT017	32.8578	131.6587	34.15	84.61
OIT018	32.7972	131.9251	37.96	108.85
SAG001	33.5274	129.8771	20.76	119.18
SAG002	33.4247	129.9195	51.85	108.35
SAG003	33.373	130.2074	65.14	86.16
SAG004	33.2646	129.8813	37.79	99.9
SAG005	33.3213	130.0643	55.01	90.68
SAG006	33.1916	130.034	47.65	83.61
SAG007	33.2627	130.3004	125.9	71.17
SAG008	33.1038	130.0996	73.85	73.1
SMN008	34.8523	132.5308	6.16	284.96
SMN009	35.0112	132.2227	8.77	285.01
SMN010	34.887	132.0783	5.97	266.63
SMN011	34.5718	132.0141	5.98	233.09
SMN012	34.3529	131.9352	8.84	208.49
SMN013	34.669	131.8458	7.6	235.46
SMN014	34.4668	131.7752	12.57	212.41
YMG001	34.6173	131.6019	35.68	221.39
YMG002	34.4073	131.3987	34.96	193.17
YMG003	34.3829	131.6002	16.88	197.17
YMG004	34.3709	131.182	9.48	184.06
YMG005	34.2904	130.9484	12.91	171.82
YMG006	34.149	130.9298	28.27	156.01
YMG007	34.1657	131.2064	14.88	162.4
YMG008	34.0121	131.4042	28.06	152.17
YMG009	34.2319	131.8169	7.64	191.34
YMG010	34.2304	131.9822	7.49	199.48
YMG011	34.0643	131.0214	76.88	147.78
YMG012	33.9941	131.2181	74.51	144.36
YMG013	34.031	131.5348	85.74	159.19
YMG014	34.0544	131.8077	16.27	174.25
YMG015	34.0966	132.0758	12.82	192.84
YMG016	34.1699	132.1766	14.46	205.04
YMG017	33.9649	132.1011	20.87	183.38
YMG018	33.9091	132.3561	30.62	196.11
YMG019	33.8455	132.1204	6.5	175.2
